user_id,event_id,timestamp,rsvp_status,compatibility_score
U0000,E0144,2026-02-07T10:41:41.130138,interested,9
U0000,E0026,2026-01-11T10:41:41.130142,going,8
U0000,E0122,2026-01-06T10:41:41.130145,interested,8
U0000,E0053,2026-02-08T10:41:41.130148,going,7
U0000,E0119,2026-01-06T10:41:41.130151,going,7
U0000,E0148,2026-02-07T10:41:41.130153,going,7
U0000,E0029,2026-01-31T10:41:41.130156,interested,7
U0001,E0118,2026-01-26T10:41:41.130574,going,8
U0001,E0069,2026-01-31T10:41:41.130578,interested,7
U0002,E0061,2026-02-11T10:41:41.130968,going,9
U0002,E0022,2026-01-10T10:41:41.130971,going,8
U0002,E0028,2026-01-13T10:41:41.130974,interested,7
U0002,E0121,2026-02-02T10:41:41.130977,going,8
U0002,E0071,2026-02-01T10:41:41.130980,interested,7
U0002,E0009,2026-01-21T10:41:41.130982,going,7
U0002,E0037,2026-01-21T10:41:41.130985,interested,7
U0003,E0138,2026-02-15T10:41:41.131344,going,8
U0003,E0096,2026-02-16T10:41:41.131348,going,7
U0003,E0028,2026-02-06T10:41:41.131350,interested,7
U0003,E0023,2026-01-06T10:41:41.131353,interested,7
U0003,E0019,2026-01-29T10:41:41.131355,interested,8
U0004,E0054,2026-02-18T10:41:41.131763,interested,7
U0004,E0078,2026-02-02T10:41:41.131766,interested,7
U0004,E0125,2026-01-29T10:41:41.131770,interested,8
U0004,E0110,2026-02-21T10:41:41.131772,going,7
U0004,E0120,2026-02-09T10:41:41.131775,going,7
U0005,E0000,2026-01-11T10:41:41.132165,going,7
U0006,E0117,2026-01-06T10:41:41.132542,interested,8
U0006,E0118,2026-02-19T10:41:41.132545,going,8
U0006,E0131,2026-01-01T10:41:41.132547,going,8
U0007,E0111,2026-01-02T10:41:41.132929,going,7
U0007,E0023,2026-01-14T10:41:41.132932,going,7
U0007,E0078,2026-02-01T10:41:41.132935,interested,7
U0007,E0120,2026-01-04T10:41:41.132937,going,7
U0007,E0007,2026-01-16T10:41:41.132940,going,7
U0007,E0000,2026-02-06T10:41:41.132943,going,7
U0007,E0084,2026-01-08T10:41:41.132945,going,7
U0008,E0092,2026-01-23T10:41:41.133320,interested,8
U0008,E0002,2026-02-17T10:41:41.133323,going,7
U0009,E0133,2026-01-21T10:41:41.133714,going,7
U0009,E0078,2026-02-20T10:41:41.133718,interested,7
U0009,E0003,2026-02-19T10:41:41.133720,interested,7
U0009,E0063,2026-01-11T10:41:41.133723,going,7
U0009,E0125,2026-01-02T10:41:41.133726,going,4
U0009,E0051,2026-01-09T10:41:41.133728,going,3
U0009,E0026,2026-02-07T10:41:41.133731,interested,3
U0010,E0122,2026-02-21T10:41:41.134124,going,8
U0010,E0053,2026-01-23T10:41:41.134127,going,7
U0010,E0086,2026-01-01T10:41:41.134130,going,7
U0011,E0147,2026-01-10T10:41:41.134514,going,8
U0011,E0036,2026-02-16T10:41:41.134517,going,7
U0011,E0028,2026-01-08T10:41:41.134520,going,7
U0011,E0107,2025-12-28T10:41:41.134523,interested,7
U0011,E0116,2026-02-24T10:41:41.134525,interested,7
U0011,E0046,2026-02-06T10:41:41.134528,interested,7
U0013,E0147,2026-02-24T10:41:41.135359,going,8
U0013,E0143,2026-02-20T10:41:41.135362,going,7
