user_id,artist_id,timestamp,compatibility_score
U0000,A0024,2026-02-20T10:41:41.129925,7
U0000,A0072,2026-01-12T10:41:41.129929,7
U0000,A0045,2026-02-14T10:41:41.129932,7
U0000,A0053,2026-02-06T10:41:41.129935,7
U0000,A0077,2025-12-10T10:41:41.129937,7
U0000,A0049,2026-02-05T10:41:41.129940,7
U0000,A0081,2025-12-23T10:41:41.129942,7
U0000,A0022,2026-01-03T10:41:41.129945,7
U0000,A0027,2026-01-06T10:41:41.129947,7
U0000,A0046,2026-01-25T10:41:41.129950,7
U0001,A0057,2025-12-06T10:41:41.130360,7
U0001,A0086,2026-02-18T10:41:41.130363,7
U0001,A0072,2026-01-16T10:41:41.130365,7
U0001,A0040,2026-02-12T10:41:41.130368,7
U0001,A0053,2025-12-28T10:41:41.130371,7
U0001,A0018,2025-12-08T10:41:41.130373,7
U0001,A0049,2026-02-03T10:41:41.130375,8
U0001,A0008,2025-12-11T10:41:41.130377,7
U0002,A0062,2025-12-03T10:41:41.130792,7
U0002,A0019,2025-12-25T10:41:41.130795,8
U0002,A0060,2025-12-12T10:41:41.130797,7
U0002,A0099,2025-11-27T10:41:41.130800,7
U0002,A0034,2026-01-29T10:41:41.130802,6
U0003,A0010,2025-12-11T10:41:41.131174,5
U0003,A0016,2026-01-07T10:41:41.131177,5
U0003,A0047,2026-02-13T10:41:41.131180,5
U0003,A0091,2026-02-24T10:41:41.131182,5
U0004,A0049,2026-01-16T10:41:41.131572,8
U0004,A0062,2025-11-29T10:41:41.131575,8
U0004,A0024,2025-12-30T10:41:41.131577,8
U0004,A0088,2026-01-27T10:41:41.131580,7
U0004,A0073,2025-12-16T10:41:41.131582,7
U0005,A0083,2026-02-20T10:41:41.131988,8
U0005,A0036,2026-01-30T10:41:41.131991,7
U0006,A0068,2025-12-15T10:41:41.132365,7
U0006,A0086,2026-02-19T10:41:41.132368,7
U0006,A0018,2025-12-12T10:41:41.132370,7
U0007,A0039,2025-12-24T10:41:41.132753,7
U0007,A0049,2026-01-17T10:41:41.132756,6
U0007,A0036,2025-12-07T10:41:41.132758,5
U0007,A0072,2025-12-08T10:41:41.132760,5
U0007,A0080,2026-01-09T10:41:41.132763,5
U0008,A0018,2026-01-03T10:41:41.133152,7
U0008,A0001,2025-12-28T10:41:41.133155,8
U0008,A0040,2025-12-20T10:41:41.133157,7
U0008,A0084,2025-11-29T10:41:41.133160,8
U0009,A0039,2026-02-19T10:41:41.133528,7
U0009,A0056,2025-12-01T10:41:41.133531,7
