user_id,event_id,timestamp,rsvp_status,compatibility_score,compatibility_score_norm
U0000,E0482,2026-01-19 12:53:44.340369,going,8,0.8333333333333334
U0000,E0922,2025-12-10 12:53:44.340387,interested,8,0.8333333333333334
U0000,E0275,2025-12-07 12:53:44.340393,going,7,0.6666666666666666
U0000,E0868,2026-01-09 12:53:44.340397,going,8,0.8333333333333334
U0000,E0030,2026-01-23 12:53:44.340401,going,8,0.8333333333333334
U0000,E0647,2025-12-10 12:53:44.340404,going,7,0.6666666666666666
U0000,E0702,2026-01-07 12:53:44.340408,interested,8,0.8333333333333334
U0001,E0113,2026-01-07 12:53:44.343046,going,8,0.8333333333333334
U0001,E0347,2026-01-23 12:53:44.343051,going,8,0.8333333333333334
U0001,E0375,2025-12-16 12:53:44.343054,going,7,0.6666666666666666
U0002,E0752,2026-01-26 12:53:44.345676,interested,8,0.8333333333333334
U0002,E0705,2025-12-16 12:53:44.345680,going,8,0.8333333333333334
U0002,E0518,2026-01-18 12:53:44.345684,going,8,0.8333333333333334
U0002,E0460,2025-12-18 12:53:44.345690,going,8,0.8333333333333334
U0002,E0637,2025-12-31 12:53:44.345693,going,7,0.6666666666666666
U0003,E0118,2026-01-23 12:53:44.348108,going,8,0.8333333333333334
U0003,E0350,2026-01-29 12:53:44.348113,interested,8,0.8333333333333334
U0003,E0240,2026-01-11 12:53:44.348116,going,7,0.6666666666666666
U0003,E0643,2026-01-02 12:53:44.348120,interested,7,0.6666666666666666
U0004,E0952,2026-01-16 12:53:44.350832,going,8,0.8333333333333334
U0004,E0894,2026-01-15 12:53:44.350836,interested,8,0.8333333333333334
U0004,E0619,2026-01-14 12:53:44.350840,interested,8,0.8333333333333334
U0005,E0809,2026-01-30 12:53:44.353457,interested,7,0.6666666666666666
U0005,E0739,2025-12-29 12:53:44.353461,going,7,0.6666666666666666
U0006,E0579,2025-12-19 12:53:44.355963,going,7,0.6666666666666666
U0006,E0084,2026-01-24 12:53:44.355967,going,7,0.6666666666666666
U0006,E0009,2026-01-23 12:53:44.355971,interested,7,0.6666666666666666
U0006,E0774,2025-12-13 12:53:44.355975,going,7,0.6666666666666666
U0006,E0822,2025-12-17 12:53:44.355978,going,7,0.6666666666666666
U0007,E0656,2026-01-23 12:53:44.358348,going,8,0.8333333333333334
U0007,E0069,2026-01-27 12:53:44.358357,interested,7,0.6666666666666666
U0007,E0155,2026-01-11 12:53:44.358361,going,7,0.6666666666666666
U0008,E0656,2026-01-11 12:53:44.360755,going,9,1.0
U0008,E0870,2025-12-10 12:53:44.360758,interested,8,0.8333333333333334
U0008,E0304,2026-01-13 12:53:44.360761,going,8,0.8333333333333334
U0009,E0045,2025-12-09 12:53:44.363205,going,8,0.8333333333333334
U0009,E0040,2026-01-27 12:53:44.363209,going,8,0.8333333333333334
U0009,E0820,2025-12-20 12:53:44.363212,going,7,0.6666666666666666
U0010,E0728,2026-01-05 12:53:44.365619,interested,8,0.8333333333333334
U0010,E0565,2025-12-25 12:53:44.365622,interested,8,0.8333333333333334
U0010,E0946,2026-01-12 12:53:44.365625,going,8,0.8333333333333334
U0011,E0894,2025-12-23 12:53:44.367789,going,8,0.8333333333333334
U0011,E0624,2026-01-04 12:53:44.367793,going,7,0.6666666666666666
U0011,E0359,2026-01-29 12:53:44.367795,going,7,0.6666666666666666
U0011,E0119,2025-12-08 12:53:44.367798,interested,7,0.6666666666666666
U0011,E0269,2025-12-31 12:53:44.367801,interested,7,0.6666666666666666
U0011,E0140,2025-12-24 12:53:44.367804,interested,8,0.8333333333333334
U0011,E0699,2026-01-16 12:53:44.367807,going,7,0.6666666666666666
U0012,E0584,2026-01-22 12:53:44.370026,going,7,0.6666666666666666
U0012,E0843,2026-01-10 12:53:44.370040,going,3,0.0
U0013,E0862,2026-01-08 12:53:44.372137,going,7,0.6666666666666666
U0013,E0544,2025-12-11 12:53:44.372141,going,7,0.6666666666666666
U0014,E0790,2025-12-17 12:53:44.374392,interested,8,0.8333333333333334
U0014,E0864,2026-01-14 12:53:44.374408,interested,8,0.8333333333333334
U0014,E0860,2026-01-22 12:53:44.374412,interested,8,0.8333333333333334
U0015,E0156,2026-01-19 12:53:44.376536,interested,7,0.6666666666666666
U0015,E0100,2025-12-25 12:53:44.376540,interested,7,0.6666666666666666
U0015,E0498,2026-01-30 12:53:44.376543,interested,7,0.6666666666666666
U0016,E0778,2026-01-14 12:53:44.378971,interested,8,0.8333333333333334
U0016,E0356,2025-12-22 12:53:44.378974,interested,8,0.8333333333333334
U0016,E0172,2025-12-17 12:53:44.378977,going,8,0.8333333333333334
U0016,E0266,2026-01-11 12:53:44.378980,going,8,0.8333333333333334
U0016,E0633,2026-02-02 12:53:44.378983,going,8,0.8333333333333334
U0017,E0243,2025-12-06 12:53:44.381153,interested,8,0.8333333333333334
U0017,E0902,2025-12-06 12:53:44.381157,going,8,0.8333333333333334
U0017,E0118,2025-12-22 12:53:44.381160,interested,8,0.8333333333333334
U0017,E0442,2025-12-26 12:53:44.381163,interested,8,0.8333333333333334
U0017,E0407,2025-12-15 12:53:44.381166,going,7,0.6666666666666666
U0018,E0605,2025-12-10 12:53:44.383702,going,8,0.8333333333333334
U0018,E0143,2025-12-31 12:53:44.383707,going,8,0.8333333333333334
U0018,E0866,2025-12-25 12:53:44.383709,interested,7,0.6666666666666666
U0018,E0038,2025-12-25 12:53:44.383712,interested,7,0.6666666666666666
U0018,E0015,2025-12-26 12:53:44.383715,going,7,0.6666666666666666
U0018,E0147,2025-12-07 12:53:44.383718,going,7,0.6666666666666666
U0018,E0941,2025-12-25 12:53:44.383721,going,7,0.6666666666666666
U0018,E0311,2025-12-18 12:53:44.383724,going,7,0.6666666666666666
U0019,E0136,2026-01-04 12:53:44.386029,going,8,0.8333333333333334
U0019,E0254,2026-01-30 12:53:44.386033,interested,8,0.8333333333333334
U0019,E0450,2026-01-15 12:53:44.386036,interested,7,0.6666666666666666
U0019,E0681,2026-01-13 12:53:44.386038,going,7,0.6666666666666666
U0020,E0814,2025-12-27 12:53:44.388222,going,7,0.6666666666666666
U0020,E0064,2025-12-27 12:53:44.388227,interested,7,0.6666666666666666
U0020,E0657,2026-01-25 12:53:44.388237,interested,7,0.6666666666666666
U0021,E0456,2026-01-20 12:53:44.390292,going,7,0.6666666666666666
U0021,E0985,2026-01-09 12:53:44.390296,going,7,0.6666666666666666
U0021,E0527,2026-02-01 12:53:44.390299,going,7,0.6666666666666666
U0021,E0776,2025-12-14 12:53:44.390302,going,7,0.6666666666666666
U0021,E0950,2025-12-05 12:53:44.390305,going,7,0.6666666666666666
U0021,E0824,2025-12-17 12:53:44.390308,interested,8,0.8333333333333334
U0021,E0673,2026-01-26 12:53:44.390311,going,7,0.6666666666666666
U0022,E0829,2025-12-28 12:53:44.392458,interested,7,0.6666666666666666
U0022,E0079,2025-12-30 12:53:44.392462,interested,7,0.6666666666666666
U0022,E0125,2026-01-19 12:53:44.392465,going,7,0.6666666666666666
U0023,E0964,2025-12-23 12:53:44.394715,interested,8,0.8333333333333334
U0024,E0003,2025-12-12 12:53:44.397125,going,9,1.0
U0025,E0789,2026-01-29 12:53:44.399305,interested,8,0.8333333333333334
U0025,E0905,2026-01-28 12:53:44.399315,going,7,0.6666666666666666
U0025,E0527,2025-12-09 12:53:44.399318,going,7,0.6666666666666666
U0025,E0347,2026-01-11 12:53:44.399321,interested,8,0.8333333333333334
U0026,E0113,2026-01-30 12:53:44.401852,going,8,0.8333333333333334
U0026,E0168,2026-01-22 12:53:44.401855,going,8,0.8333333333333334
U0026,E0771,2026-01-26 12:53:44.401858,going,8,0.8333333333333334
U0026,E0003,2025-12-17 12:53:44.401861,interested,8,0.8333333333333334
U0026,E0166,2025-12-18 12:53:44.401864,going,8,0.8333333333333334
U0026,E0833,2026-01-22 12:53:44.401867,going,7,0.6666666666666666
U0026,E0869,2025-12-05 12:53:44.401870,going,7,0.6666666666666666
U0026,E0888,2026-01-29 12:53:44.401873,going,8,0.8333333333333334
U0026,E0623,2026-01-29 12:53:44.401876,going,7,0.6666666666666666
U0026,E0731,2025-12-31 12:53:44.401879,going,7,0.6666666666666666
